"horizon","lower_90","lower_50","median","upper_50","upper_90","date","impulse","response","scenario"
0,-4.04131796829074,-2.39736875868699,-1.29420896311229,-0.432385478627258,1.34562803400344,"2022-03-31","GPR_ME","oil_shock","cholesky"
1,-1.41905086996492,-0.859970667395802,-0.483155182517523,-0.1738839591311,0.256973573961329,"2022-03-31","GPR_ME","oil_shock","cholesky"
2,-0.898607057219091,-0.518118569029489,-0.296272032877636,-0.0992755623239695,0.16688574519808,"2022-03-31","GPR_ME","oil_shock","cholesky"
3,-0.592162613781203,-0.330315291333958,-0.184150403841028,-0.0728680234554502,0.0924225732573267,"2022-03-31","GPR_ME","oil_shock","cholesky"
4,-0.383183517058452,-0.199038759282424,-0.10957332335462,-0.0456401038050475,0.0525768066697151,"2022-03-31","GPR_ME","oil_shock","cholesky"
5,-0.240428462647734,-0.116770285940937,-0.0644999300131386,-0.0279389361859175,0.0266478099193656,"2022-03-31","GPR_ME","oil_shock","cholesky"
6,-0.151975533754236,-0.0678791959615569,-0.0370659390070175,-0.0159247267061009,0.0160870997408981,"2022-03-31","GPR_ME","oil_shock","cholesky"
7,-0.0987507380565924,-0.0400241371571933,-0.0212806587835498,-0.00786340584510335,0.010491717355786,"2022-03-31","GPR_ME","oil_shock","cholesky"
8,-0.0646221360794015,-0.0236300270776774,-0.0118989186133654,-0.00421694180004461,0.00662451312529087,"2022-03-31","GPR_ME","oil_shock","cholesky"
9,-0.041447184600225,-0.014524855495723,-0.00669163627191954,-0.00218009189699279,0.00433541365974994,"2022-03-31","GPR_ME","oil_shock","cholesky"
10,-0.0278902391241133,-0.00863509351612132,-0.00372977330159816,-0.00113907183499113,0.00262533317808708,"2022-03-31","GPR_ME","oil_shock","cholesky"
11,-0.0183284668780605,-0.0050284779808285,-0.00208627613148234,-0.000605975422249311,0.00157257989594741,"2022-03-31","GPR_ME","oil_shock","cholesky"
12,-0.0121057702730776,-0.00300214367033979,-0.00116195302392947,-0.000300102796573254,0.000955819732997647,"2022-03-31","GPR_ME","oil_shock","cholesky"
0,-0.171508642610018,-0.015731822497919,0.0695049698959238,0.181262488155416,0.361543704906871,"2022-03-31","oil_shock","fx_dep","cholesky"
1,-0.0459857830809717,0.0371982124459524,0.0873616440192444,0.146039681787375,0.261237381930433,"2022-03-31","oil_shock","fx_dep","cholesky"
2,-0.0106737706235588,0.0226318085513035,0.0470378511890529,0.0745368263232472,0.136176371334891,"2022-03-31","oil_shock","fx_dep","cholesky"
3,-0.0036284399016542,0.00968620386864894,0.022636180593727,0.0377907680841218,0.0646508362320846,"2022-03-31","oil_shock","fx_dep","cholesky"
4,-0.00163948285831996,0.00430244635909409,0.0108028496463912,0.0185821139972315,0.0351302587483096,"2022-03-31","oil_shock","fx_dep","cholesky"
5,-0.000645266112882624,0.0017680479002497,0.00496961895383141,0.00919084975012734,0.0190568565661813,"2022-03-31","oil_shock","fx_dep","cholesky"
6,-0.000696604216765788,0.000736176945988549,0.00229900776090534,0.00473120757796548,0.0102013583122527,"2022-03-31","oil_shock","fx_dep","cholesky"
7,-0.000599010238947872,0.000248840410996044,0.00105084240350375,0.002409249167044,0.00605428226129579,"2022-03-31","oil_shock","fx_dep","cholesky"
8,-0.000420346524035647,9.59215100316638e-05,0.000518522761981783,0.00122505617156327,0.00348286953382274,"2022-03-31","oil_shock","fx_dep","cholesky"
9,-0.000326244156599896,3.41067452381409e-05,0.000240983785940215,0.000619908259066044,0.00203306718584383,"2022-03-31","oil_shock","fx_dep","cholesky"
10,-0.000205636128927063,9.36151007454636e-06,0.000109193158210585,0.00030569395381157,0.00120737486620655,"2022-03-31","oil_shock","fx_dep","cholesky"
11,-0.000123989979261688,-1.96215772407897e-08,5.64280761937632e-05,0.000173063318631363,0.000712407016231132,"2022-03-31","oil_shock","fx_dep","cholesky"
12,-8.4257528707069e-05,-2.78610090418949e-06,2.92616503013939e-05,9.40638353638636e-05,0.00043321309541868,"2022-03-31","oil_shock","fx_dep","cholesky"
0,-0.233884089288461,-0.0862062491287011,-0.0142089252537019,0.0724374043821794,0.17961575819568,"2022-03-31","oil_shock","inflation_mom","cholesky"
1,-0.0351654989051532,0.0329003205557198,0.086050398539291,0.13690073861732,0.247728438378906,"2022-03-31","oil_shock","inflation_mom","cholesky"
2,-0.012696298287827,0.0202778124627568,0.0508131939971585,0.0772771167502406,0.144941697237555,"2022-03-31","oil_shock","inflation_mom","cholesky"
3,-0.00653026639291782,0.0110568691155643,0.0230404212167336,0.0401334042567485,0.0743557666891167,"2022-03-31","oil_shock","inflation_mom","cholesky"
4,-0.00283575265238177,0.00479787201293229,0.0109218384177012,0.0202212486591234,0.0384043509484805,"2022-03-31","oil_shock","inflation_mom","cholesky"
5,-0.00136080536760171,0.0022113346863529,0.00545616769879586,0.00989179072285142,0.0206525409319394,"2022-03-31","oil_shock","inflation_mom","cholesky"
6,-0.000815301343102052,0.00113875659491168,0.00280232855413025,0.00492195550038556,0.0121687221329128,"2022-03-31","oil_shock","inflation_mom","cholesky"
7,-0.00039169145898636,0.000505199518822056,0.00137396750562352,0.00260277067861148,0.00705180722340873,"2022-03-31","oil_shock","inflation_mom","cholesky"
8,-0.000252639541976309,0.000261646752580791,0.000700465067822834,0.00144028848593563,0.00415193094748773,"2022-03-31","oil_shock","inflation_mom","cholesky"
9,-0.00016438539172094,0.000133480754438675,0.000358574631800476,0.000815123064559578,0.0025060285180418,"2022-03-31","oil_shock","inflation_mom","cholesky"
10,-0.000100896436661701,6.56387791795929e-05,0.000185375672869087,0.00046289958621946,0.0015106950917415,"2022-03-31","oil_shock","inflation_mom","cholesky"
11,-6.77184524797891e-05,3.36023148185616e-05,9.78258590594684e-05,0.000261507607884054,0.000915804216981616,"2022-03-31","oil_shock","inflation_mom","cholesky"
12,-4.42549247798606e-05,1.50698784153228e-05,5.33779106457009e-05,0.000148156177632894,0.000555449160691953,"2022-03-31","oil_shock","inflation_mom","cholesky"
0,0.153130792132754,0.311201035477234,0.483383409391405,0.684609426269985,1.10425395324411,"2022-03-31","fx_dep","inflation_mom","cholesky"
1,-0.00121879732696944,0.132411104376117,0.230252519919599,0.349000056377357,0.600048394990999,"2022-03-31","fx_dep","inflation_mom","cholesky"
2,-0.0659409617417386,0.0490233979549999,0.111047569802585,0.188702934074165,0.330912379816548,"2022-03-31","fx_dep","inflation_mom","cholesky"
3,-0.0537262524209905,0.0181643071063256,0.0546646196478702,0.101312591936128,0.198158145967241,"2022-03-31","fx_dep","inflation_mom","cholesky"
4,-0.0326628602296391,0.0068364129669119,0.0267182072825958,0.0537145663655302,0.120104584373486,"2022-03-31","fx_dep","inflation_mom","cholesky"
5,-0.0156783517144576,0.00310542487624593,0.0128659422259889,0.0283957420499807,0.0723602925372811,"2022-03-31","fx_dep","inflation_mom","cholesky"
6,-0.00915818105792712,0.000905311826092671,0.00626394459756944,0.0146165387748693,0.0419314912636312,"2022-03-31","fx_dep","inflation_mom","cholesky"
7,-0.00549535945492308,0.000298226846260844,0.00332601311248797,0.00798288124669905,0.0244701136136235,"2022-03-31","fx_dep","inflation_mom","cholesky"
8,-0.00263908416530499,0.000161184093208947,0.00167707949397067,0.00432061758971428,0.0138892449452651,"2022-03-31","fx_dep","inflation_mom","cholesky"
9,-0.00158203180248286,5.85584328806972e-05,0.000874245287142948,0.00236377310368159,0.00791831462583745,"2022-03-31","fx_dep","inflation_mom","cholesky"
10,-0.000870496010984813,3.12182899929829e-05,0.000451128003814672,0.00130038053197808,0.00486991136143638,"2022-03-31","fx_dep","inflation_mom","cholesky"
11,-0.000476532110274778,9.60297527416872e-06,0.000227979151755651,0.000716460119399245,0.00291102022285665,"2022-03-31","fx_dep","inflation_mom","cholesky"
12,-0.000283857963706156,4.01748418150429e-06,0.000113487732142115,0.000395972038676359,0.00171508236779955,"2022-03-31","fx_dep","inflation_mom","cholesky"
0,-4.17366828110987,-2.51997582587313,-1.42081174174436,-0.433423393786316,1.10050130612988,"2023-10-31","GPR_ME","oil_shock","cholesky"
1,-2.50046340042058,-1.52359624134517,-0.947054409798511,-0.452598275131636,0.463070167963421,"2023-10-31","GPR_ME","oil_shock","cholesky"
2,-1.68837553695031,-1.07328769490326,-0.650896963709323,-0.302693632240725,0.35002017990537,"2023-10-31","GPR_ME","oil_shock","cholesky"
3,-1.09917437291087,-0.682624382152748,-0.410902646142111,-0.190694759676124,0.214681357750297,"2023-10-31","GPR_ME","oil_shock","cholesky"
4,-0.715311059930384,-0.421584863304747,-0.252320102453093,-0.116201737189442,0.117577330132016,"2023-10-31","GPR_ME","oil_shock","cholesky"
5,-0.451040831788846,-0.261940949324454,-0.144527614548361,-0.0650509278659525,0.0680616825368141,"2023-10-31","GPR_ME","oil_shock","cholesky"
6,-0.299064916610591,-0.158069077669932,-0.0824530728446305,-0.0348378083800303,0.0403995302539793,"2023-10-31","GPR_ME","oil_shock","cholesky"
7,-0.195486190944447,-0.0948027829045239,-0.0478203896869929,-0.0180533410065749,0.0308840199371487,"2023-10-31","GPR_ME","oil_shock","cholesky"
8,-0.121451313651031,-0.0569724089244512,-0.0272149190459122,-0.00982262752490183,0.0176296005830376,"2023-10-31","GPR_ME","oil_shock","cholesky"
9,-0.08579368558073,-0.0330172225063542,-0.0150213378858313,-0.00499652748558678,0.0118689377628375,"2023-10-31","GPR_ME","oil_shock","cholesky"
10,-0.0554915419075713,-0.0194236736016979,-0.00840570381304642,-0.00266344744545936,0.00717730968902981,"2023-10-31","GPR_ME","oil_shock","cholesky"
11,-0.0373078143435882,-0.011680584724408,-0.00465019199818066,-0.00137376523813894,0.00435587284867956,"2023-10-31","GPR_ME","oil_shock","cholesky"
12,-0.0245809197683553,-0.00691626573951915,-0.00263812878432462,-0.000676712322619358,0.00264119041065706,"2023-10-31","GPR_ME","oil_shock","cholesky"
0,-0.0539568108141965,0.000440347807799338,0.0386317186499418,0.0739266557587443,0.144990324388711,"2023-10-31","oil_shock","fx_dep","cholesky"
1,-0.0206327658753393,0.0158053656789667,0.0365021965592991,0.0582992037191068,0.0946658439008399,"2023-10-31","oil_shock","fx_dep","cholesky"
2,-0.00698786173123556,0.00824202771093518,0.0177181877863849,0.0293604768000752,0.049614816822415,"2023-10-31","oil_shock","fx_dep","cholesky"
3,-0.0027930232934302,0.00351178490819732,0.00801649533637937,0.0143641454431648,0.0253392116154463,"2023-10-31","oil_shock","fx_dep","cholesky"
4,-0.0013113884909561,0.00159544953816298,0.00363112841950186,0.00713446076129536,0.0132812131302103,"2023-10-31","oil_shock","fx_dep","cholesky"
5,-0.000590616764468966,0.000659706797716977,0.00178492528448068,0.00343563258191529,0.00722741713303507,"2023-10-31","oil_shock","fx_dep","cholesky"
6,-0.000426838632783706,0.000238397918871891,0.000810082844464448,0.00167817626728879,0.00412789103788427,"2023-10-31","oil_shock","fx_dep","cholesky"
7,-0.000277238265684952,7.57256010857498e-05,0.000399377785140588,0.000855153289151726,0.00236708624294192,"2023-10-31","oil_shock","fx_dep","cholesky"
8,-0.00019036905534388,2.66584411690661e-05,0.000187197221850606,0.000429888147929162,0.00143297573445808,"2023-10-31","oil_shock","fx_dep","cholesky"
9,-0.000134514938958107,7.29725157578571e-06,8.61435973049618e-05,0.00022862090857983,0.000825856636220998,"2023-10-31","oil_shock","fx_dep","cholesky"
10,-6.97672181691969e-05,1.77624578822268e-06,4.09616850102296e-05,0.000127846902084986,0.000486681317244889,"2023-10-31","oil_shock","fx_dep","cholesky"
11,-4.63671180039199e-05,-2.0192483155307e-06,1.94095500947842e-05,6.85196012220998e-05,0.000308851124268363,"2023-10-31","oil_shock","fx_dep","cholesky"
12,-3.03004880013232e-05,-1.94447375562667e-06,9.21273159022878e-06,3.70504772550167e-05,0.000181010522567657,"2023-10-31","oil_shock","fx_dep","cholesky"
0,-0.108895776875269,-0.0461020639182984,-0.00893051232044517,0.0186305894012582,0.065812177958495,"2023-10-31","oil_shock","inflation_mom","cholesky"
1,-0.0235900225080408,0.00678073682687383,0.0269977878940785,0.0475494593416607,0.0854013756812298,"2023-10-31","oil_shock","inflation_mom","cholesky"
2,-0.00674420861435616,0.00596816289546137,0.0158017735341281,0.0278074733867462,0.0470774041186464,"2023-10-31","oil_shock","inflation_mom","cholesky"
3,-0.00292154610684295,0.00291462252679713,0.00758773349592988,0.014183007938001,0.0256769109982523,"2023-10-31","oil_shock","inflation_mom","cholesky"
4,-0.00134889473354676,0.0015210818749195,0.00375347989063065,0.00730798733126621,0.0138509287292227,"2023-10-31","oil_shock","inflation_mom","cholesky"
5,-0.000806637536854123,0.000732392617384586,0.00190944901180587,0.00371423154201543,0.00744133889638802,"2023-10-31","oil_shock","inflation_mom","cholesky"
6,-0.000364616614636498,0.000373889813100593,0.000991930333374498,0.00190989505812664,0.00441850089365803,"2023-10-31","oil_shock","inflation_mom","cholesky"
7,-0.000188552752175177,0.000165460798859912,0.00050582506799333,0.00106165838887754,0.00266817954063715,"2023-10-31","oil_shock","inflation_mom","cholesky"
8,-0.000114115951052077,8.14356863074524e-05,0.000265872476188724,0.000556479690671581,0.00153591472169459,"2023-10-31","oil_shock","inflation_mom","cholesky"
9,-7.49258011207396e-05,3.67728266564453e-05,0.000142828060969867,0.000295917215745373,0.000945002483699969,"2023-10-31","oil_shock","inflation_mom","cholesky"
10,-4.68274686220967e-05,1.73384076364886e-05,7.79285277470649e-05,0.000170058476406976,0.000578165904629832,"2023-10-31","oil_shock","inflation_mom","cholesky"
11,-2.9733461253268e-05,8.74897008188743e-06,4.3439043947097e-05,9.87730933785021e-05,0.000376677170230542,"2023-10-31","oil_shock","inflation_mom","cholesky"
12,-1.64024498837788e-05,4.7662725188202e-06,2.35727870594248e-05,5.81117167609942e-05,0.000230916961588159,"2023-10-31","oil_shock","inflation_mom","cholesky"
0,0.0536462509110528,0.159461944376461,0.242800997912684,0.349749177329737,0.594317889303461,"2023-10-31","fx_dep","inflation_mom","cholesky"
1,0.00234992539774537,0.062141352614899,0.111236000674326,0.171866630990907,0.294782873462968,"2023-10-31","fx_dep","inflation_mom","cholesky"
2,-0.0174682876589465,0.0240117831566811,0.0522469242816663,0.0958005379256702,0.17648454519264,"2023-10-31","fx_dep","inflation_mom","cholesky"
3,-0.0191706561116048,0.00934330310770288,0.0247553798721619,0.050522182397826,0.10393426406495,"2023-10-31","fx_dep","inflation_mom","cholesky"
4,-0.0133368287203166,0.00373939487801935,0.0121749611469499,0.0278097193357909,0.0633512037310109,"2023-10-31","fx_dep","inflation_mom","cholesky"
5,-0.00748053152519715,0.0013160501606021,0.0059105139412519,0.0147636266836323,0.0371492495881486,"2023-10-31","fx_dep","inflation_mom","cholesky"
6,-0.00438912991092896,0.000537802901513409,0.00298716934799104,0.00778643237786885,0.021545282457223,"2023-10-31","fx_dep","inflation_mom","cholesky"
7,-0.00223770776330317,0.000124510082777761,0.00152998857467879,0.00410418377524457,0.0130891287097569,"2023-10-31","fx_dep","inflation_mom","cholesky"
8,-0.00130219130077617,6.54432078419061e-05,0.000732389802464316,0.00227194021675728,0.00793790248224955,"2023-10-31","fx_dep","inflation_mom","cholesky"
9,-0.000722038321627944,3.18421265761666e-05,0.000399995784393485,0.00130142707527445,0.00458136892959436,"2023-10-31","fx_dep","inflation_mom","cholesky"
10,-0.00044593969590023,1.13652991876218e-05,0.000207053134637126,0.000721575717377484,0.00277722259041373,"2023-10-31","fx_dep","inflation_mom","cholesky"
11,-0.000273239402895945,6.64417305816918e-06,0.000110244336503402,0.000422295867684857,0.00178638421455272,"2023-10-31","fx_dep","inflation_mom","cholesky"
12,-0.00016574647617092,1.15873360253971e-06,5.7521296020285e-05,0.00023758030133261,0.00112525753008338,"2023-10-31","fx_dep","inflation_mom","cholesky"
0,-1.52358492478958,0.0825259779659566,0.991938171371192,2.18219183522529,3.92282017540905,"2026-02-28","GPR_ME","oil_shock","cholesky"
1,-1.41913659884315,-0.739354339559982,-0.374282202204572,-0.00829987082374074,0.560496852076415,"2026-02-28","GPR_ME","oil_shock","cholesky"
2,-1.04274337406137,-0.598308136314153,-0.296924028654225,-0.0968891450024813,0.241704873479838,"2026-02-28","GPR_ME","oil_shock","cholesky"
3,-0.70052306570002,-0.390102729579087,-0.207397192373346,-0.0749295805278249,0.128898584359092,"2026-02-28","GPR_ME","oil_shock","cholesky"
4,-0.434308158903129,-0.240884041926996,-0.121679465822804,-0.0458190717323206,0.0825401975447967,"2026-02-28","GPR_ME","oil_shock","cholesky"
5,-0.266344501690389,-0.142626170431783,-0.0698621782082655,-0.0247546354662977,0.0522570917178353,"2026-02-28","GPR_ME","oil_shock","cholesky"
6,-0.168887214606254,-0.0823290876091214,-0.0417966539390747,-0.0132334689988912,0.0293696100582236,"2026-02-28","GPR_ME","oil_shock","cholesky"
7,-0.108102517535256,-0.04809877878194,-0.0234144497329035,-0.00731878158598097,0.0200339219035236,"2026-02-28","GPR_ME","oil_shock","cholesky"
8,-0.0696261275871652,-0.029438449074544,-0.0134423078629869,-0.00439172353957618,0.0137887056010903,"2026-02-28","GPR_ME","oil_shock","cholesky"
9,-0.0448797835633593,-0.0169510319217998,-0.00740998213180754,-0.00211479597922245,0.00757899442262758,"2026-02-28","GPR_ME","oil_shock","cholesky"
10,-0.0296057663757483,-0.0103221002742563,-0.00419367227402314,-0.00111200946365743,0.00448479488638358,"2026-02-28","GPR_ME","oil_shock","cholesky"
11,-0.0187972882675548,-0.00615023059038951,-0.00226299279315404,-0.000625863644251476,0.00270729685692186,"2026-02-28","GPR_ME","oil_shock","cholesky"
12,-0.013178610928545,-0.00367194376468525,-0.00127238785134217,-0.000330029522585607,0.00170444217955815,"2026-02-28","GPR_ME","oil_shock","cholesky"
0,-0.0812273093058139,-0.00437412713884614,0.038961487867986,0.0905217406284708,0.188227362070542,"2026-02-28","oil_shock","fx_dep","cholesky"
1,-0.0322190095675072,0.00777988382457787,0.0340703320039557,0.0677565103153108,0.116748207897804,"2026-02-28","oil_shock","fx_dep","cholesky"
2,-0.0157037434533849,0.00537873872461201,0.0166685225547857,0.0329655461157612,0.059080432243024,"2026-02-28","oil_shock","fx_dep","cholesky"
3,-0.00794659022752691,0.00296829175448517,0.00800514510133453,0.0159938626398035,0.0309094220111952,"2026-02-28","oil_shock","fx_dep","cholesky"
4,-0.0038839596634058,0.00113744586945153,0.0037608933592632,0.00766797881750243,0.0165794299201878,"2026-02-28","oil_shock","fx_dep","cholesky"
5,-0.00197827295044789,0.000445173215624041,0.00174911978512169,0.00377784577343005,0.00889991941080932,"2026-02-28","oil_shock","fx_dep","cholesky"
6,-0.00099599772380568,0.000140721551714346,0.00081373560140555,0.00189353621870637,0.00483223733246903,"2026-02-28","oil_shock","fx_dep","cholesky"
7,-0.000619090396384188,2.98811468150196e-05,0.000378332092552942,0.000956516101104279,0.00276898836992438,"2026-02-28","oil_shock","fx_dep","cholesky"
8,-0.000374654326013579,4.41722559176291e-06,0.000176235426740988,0.000473397082897241,0.00156570671063413,"2026-02-28","oil_shock","fx_dep","cholesky"
9,-0.000222729568251355,-7.8230190900109e-06,9.08906869548946e-05,0.000260230799765526,0.00088868779119246,"2026-02-28","oil_shock","fx_dep","cholesky"
10,-0.000145097569833721,-6.3664938620392e-06,4.44058503614911e-05,0.000135753170154683,0.000537911850080377,"2026-02-28","oil_shock","fx_dep","cholesky"
11,-9.49539245996001e-05,-4.39911488547593e-06,2.34713937144293e-05,7.40204373649722e-05,0.000328484872242397,"2026-02-28","oil_shock","fx_dep","cholesky"
12,-5.71361516895795e-05,-2.67377068877565e-06,1.18177115995798e-05,4.0980947099304e-05,0.000205736569679067,"2026-02-28","oil_shock","fx_dep","cholesky"
0,-0.182655346327769,-0.0750472870489589,-0.0243883602211403,0.0157398731955699,0.0782541326916774,"2026-02-28","oil_shock","inflation_mom","cholesky"
1,-0.0454988604307036,-0.0016757029794835,0.0254331572538663,0.049578090292495,0.0957433350406056,"2026-02-28","oil_shock","inflation_mom","cholesky"
2,-0.0146539850820176,0.00246719572240499,0.0157158723418977,0.0289399200361843,0.0543105781468263,"2026-02-28","oil_shock","inflation_mom","cholesky"
3,-0.00641461918764672,0.00166827025896485,0.0077189464646426,0.0152370818918207,0.0281481616452764,"2026-02-28","oil_shock","inflation_mom","cholesky"
4,-0.00331348198573445,0.000949442776788318,0.00387306978050337,0.00756942152814272,0.0149370876509718,"2026-02-28","oil_shock","inflation_mom","cholesky"
5,-0.00170779584145569,0.00051873971934414,0.00199247590550428,0.00376002483685088,0.00826291853407674,"2026-02-28","oil_shock","inflation_mom","cholesky"
6,-0.000895739734196736,0.000266259643822912,0.000990148429493142,0.00202681887247607,0.00489179923201733,"2026-02-28","oil_shock","inflation_mom","cholesky"
7,-0.000472569605920949,0.000121820782943306,0.000528957055445878,0.00110789974187607,0.00302693211490127,"2026-02-28","oil_shock","inflation_mom","cholesky"
8,-0.000263670616434286,5.96627640663194e-05,0.000271585188913516,0.00061732767394709,0.00180355567092854,"2026-02-28","oil_shock","inflation_mom","cholesky"
9,-0.000138177487134353,3.00985530389998e-05,0.000147836641016434,0.000346141906654719,0.00108300891362201,"2026-02-28","oil_shock","inflation_mom","cholesky"
10,-8.20267129736518e-05,1.61466762567666e-05,7.94623835487694e-05,0.000191321225487447,0.000642946395427571,"2026-02-28","oil_shock","inflation_mom","cholesky"
11,-4.32579154899027e-05,8.75931090340143e-06,4.37720566715619e-05,0.000114511991620385,0.000415698513065565,"2026-02-28","oil_shock","inflation_mom","cholesky"
12,-2.61017502044911e-05,3.42700156748672e-06,2.29272680528518e-05,6.74293267424968e-05,0.000255302257795734,"2026-02-28","oil_shock","inflation_mom","cholesky"
0,0.0176844833933735,0.0839798862560795,0.145634625781316,0.22621097917359,0.415481138392715,"2026-02-28","fx_dep","inflation_mom","cholesky"
1,-0.00469733014659609,0.0373947878444824,0.0664054556765105,0.111174670705545,0.212201595738645,"2026-02-28","fx_dep","inflation_mom","cholesky"
2,-0.0122028438338338,0.0144805020697954,0.0326642615027557,0.0582107099616826,0.114273423184204,"2026-02-28","fx_dep","inflation_mom","cholesky"
3,-0.011205084643724,0.00539904011307213,0.0159113361624724,0.0304840281159752,0.0626862988214763,"2026-02-28","fx_dep","inflation_mom","cholesky"
4,-0.00711918295605167,0.00192488386330217,0.00733313056336361,0.0165265142001439,0.0346529803363941,"2026-02-28","fx_dep","inflation_mom","cholesky"
5,-0.0038906884533703,0.000786976411796163,0.00359779204883722,0.00879913892831135,0.0199162380335768,"2026-02-28","fx_dep","inflation_mom","cholesky"
6,-0.00233476493226591,0.000296135630139081,0.00184076753913042,0.00478044414477926,0.0118215749878378,"2026-02-28","fx_dep","inflation_mom","cholesky"
7,-0.0012379299602932,0.000164819537148359,0.000903791992396131,0.00263070563010959,0.00705709523376853,"2026-02-28","fx_dep","inflation_mom","cholesky"
8,-0.00062191115619466,4.86379658553431e-05,0.000471753304391156,0.00139449685136909,0.00442679493309489,"2026-02-28","fx_dep","inflation_mom","cholesky"
9,-0.000333965995239936,1.60744578507927e-05,0.000252195763910094,0.000782724662622004,0.00257880449533268,"2026-02-28","fx_dep","inflation_mom","cholesky"
10,-0.000222436407076058,5.87823733769813e-06,0.000127498776401482,0.000439940143912486,0.00169132963044828,"2026-02-28","fx_dep","inflation_mom","cholesky"
11,-0.000129586495485852,2.53293117672532e-06,6.68011927971756e-05,0.000245657370628281,0.00094506136537393,"2026-02-28","fx_dep","inflation_mom","cholesky"
12,-8.23369041464328e-05,8.54949177787627e-08,3.5158308986387e-05,0.000140034401281619,0.000582960853348614,"2026-02-28","fx_dep","inflation_mom","cholesky"
